EnrollmentID,LearnerID,CourseID,InstructorID,DateID,EnrollmentSource,EnrollmentStatus,CompletionDate,TimeSpentDays,CreatedDate,ApplicationDate
85,9920,74,459,1129,Referral,Completed,12/10/2025,77,2/23/2020,1/30/2023 20:08
86,3057,89,162,253,AdWords,Completed,10/16/2024,135,4/12/2023,9/8/2020 1:44
87,4588,109,499,1992,AdWords,Dropped,10/22/2020,22,10/23/2021,6/7/2025 1:42
88,10470,55,465,711,Direct,In Progress,4/13/2023,13,8/24/2020,12/8/2021 22:41
89,17908,8,61,740,LinkedIn,In Progress,1/24/2023,34,9/13/2021,1/8/2022 6:23
90,7932,58,382,1519,AdWords,Completed,5/12/2023,104,4/15/2025,2/14/2024 5:04
91,612,200,102,217,LinkedIn,In Progress,11/11/2023,41,12/10/2025,7/30/2020 0:34
92,16120,176,222,63,LinkedIn,In Progress,8/1/2020,128,7/21/2023,2/27/2020 11:03
93,16110,108,120,1400,Referral,Dropped,11/6/2024,166,3/2/2020,10/22/2023 12:34
94,15275,94,43,1536,Direct,Dropped,12/31/2021,129,7/21/2020,3/12/2024 11:41
95,7584,82,415,19,Direct,Completed,8/22/2025,98,12/3/2020,1/14/2020 18:55
96,5535,136,434,93,Direct,Completed,11/26/2025,48,7/8/2020,3/21/2020 8:12
97,3292,50,392,2013,AdWords,Dropped,11/10/2025,67,7/28/2022,6/21/2025 9:36
98,8071,80,105,368,Direct,Completed,5/22/2024,46,2/20/2020,1/1/2021 16:31
99,19588,46,490,1871,LinkedIn,In Progress,11/3/2022,107,6/19/2024,2/4/2025 17:44
100,2607,51,11,1509,AdWords,In Progress,4/15/2024,126,10/8/2025,2/6/2024 7:58
101,517,71,344,1289,Referral,In Progress,6/12/2025,134,10/14/2022,7/11/2023 6:55
102,9588,115,27,2079,Direct,In Progress,10/4/2024,40,12/2/2021,8/31/2025 8:00
103,13899,106,135,1095,Direct,In Progress,6/21/2025,68,5/22/2025,12/17/2022 9:56
104,18484,50,406,1121,Direct,Completed,10/30/2022,56,10/4/2020,1/22/2023 11:10
105,10941,23,145,463,Referral,Dropped,6/27/2020,62,6/21/2023,3/25/2021 14:25
106,6928,127,484,396,Referral,Completed,2/22/2020,168,6/6/2023,1/16/2021 14:02
107,12395,15,68,990,LinkedIn,Completed,4/9/2024,117,8/3/2020,9/2/2022 3:48
108,11211,190,435,1227,Direct,Completed,1/15/2020,15,2/11/2020,5/4/2023 3:50
109,15746,71,12,533,AdWords,Completed,4/4/2022,160,6/17/2021,6/3/2021 22:12
110,5916,2,334,827,Referral,In Progress,7/19/2020,65,5/2/2021,3/31/2022 0:31
111,15204,195,446,1845,LinkedIn,Completed,12/6/2025,79,3/14/2023,1/7/2025 11:47
112,11015,13,262,935,AdWords,Completed,10/13/2023,163,11/23/2023,7/15/2022 1:49
113,3480,60,233,978,LinkedIn,In Progress,5/1/2025,126,7/24/2023,8/22/2022 14:22
114,12371,191,14,1642,Referral,In Progress,2/16/2021,154,1/2/2023,6/22/2024 16:57
115,8664,44,65,1824,AdWords,In Progress,2/18/2025,164,9/8/2021,12/24/2024 6:51
116,1822,184,301,469,Direct,In Progress,11/27/2020,143,5/16/2025,4/1/2021 5:22
117,19858,15,295,1914,Direct,In Progress,8/31/2025,139,6/3/2021,3/27/2025 11:50
118,18193,197,199,1696,Referral,Completed,7/2/2022,171,1/10/2023,8/8/2024 18:29
119,12279,61,81,247,Referral,In Progress,8/22/2024,91,2/7/2024,8/30/2020 0:05
120,15683,105,181,1933,AdWords,Completed,8/29/2023,112,8/12/2021,4/9/2025 20:54
121,10464,113,190,683,LinkedIn,In Progress,3/10/2022,102,10/3/2024,11/4/2021 13:06
122,5091,161,151,1255,Direct,In Progress,6/19/2020,157,9/5/2023,5/31/2023 3:46
123,7591,16,272,1345,AdWords,Dropped,10/5/2024,142,6/25/2024,8/26/2023 4:29
124,3045,30,441,935,AdWords,In Progress,7/22/2025,150,3/8/2020,7/12/2022 0:36
125,16862,185,310,871,AdWords,Dropped,11/21/2024,34,10/4/2024,5/9/2022 0:47
126,19320,119,268,1588,Referral,Dropped,6/10/2023,127,9/7/2020,4/24/2024 20:31
127,1993,44,254,819,AdWords,Completed,1/22/2024,154,1/29/2021,3/21/2022 5:05
128,13379,96,45,1757,LinkedIn,In Progress,4/15/2020,74,10/5/2025,10/10/2024 4:34
129,11960,123,348,1552,Referral,Completed,5/14/2021,80,8/22/2021,3/17/2024 1:31
130,4028,89,100,16,AdWords,Dropped,5/8/2022,91,5/28/2022,1/4/2020 20:11
131,19615,121,308,114,Referral,Completed,9/26/2024,120,6/12/2025,4/23/2020 4:03
132,14294,152,233,213,LinkedIn,Dropped,6/26/2021,28,5/16/2024,7/23/2020 8:31
133,13958,22,223,995,AdWords,In Progress,3/16/2023,113,5/19/2024,9/15/2022 18:58
134,6391,198,164,483,Referral,In Progress,9/4/2025,123,4/12/2021,4/19/2021 20:53
135,3854,101,246,286,AdWords,Dropped,2/19/2024,95,7/22/2021,10/5/2020 14:34
136,10592,101,140,1436,Referral,In Progress,7/14/2020,172,4/1/2023,12/6/2023 12:47
137,7113,200,135,16,Direct,Completed,4/1/2022,74,2/25/2023,1/5/2020 11:15
138,9154,74,106,739,Referral,Dropped,11/21/2022,80,7/9/2023,1/1/2022 4:54
139,2052,193,10,356,Direct,Completed,7/21/2020,80,1/30/2022,12/14/2020 1:50
140,3343,143,130,433,LinkedIn,In Progress,8/15/2022,93,3/17/2024,2/22/2021 3:14
141,11676,85,200,1072,Referral,Completed,6/22/2025,168,12/19/2024,11/27/2022 17:40
142,5025,123,401,728,Referral,In Progress,3/12/2024,69,2/7/2024,12/26/2021 20:51
143,19440,102,170,500,AdWords,Dropped,1/27/2020,66,1/26/2022,5/14/2021 9:01
144,19015,183,266,1516,LinkedIn,Dropped,3/17/2021,152,11/30/2022,2/17/2024 12:05
145,784,1,257,904,LinkedIn,Completed,2/27/2024,30,5/26/2023,6/20/2022 11:13
146,10305,94,260,343,LinkedIn,Completed,3/14/2021,39,12/18/2020,12/6/2020 1:40
147,15030,182,226,1792,LinkedIn,Completed,9/3/2023,120,8/1/2024,11/26/2024 14:28
148,2689,32,198,181,Direct,Completed,9/13/2020,147,8/2/2020,6/19/2020 13:41
149,1585,87,432,924,Referral,Dropped,10/30/2025,89,12/11/2020,7/8/2022 9:25
150,13064,137,92,1122,Referral,Dropped,2/20/2025,95,2/25/2024,1/17/2023 21:17
151,8213,141,247,1860,Direct,Dropped,6/14/2021,29,8/8/2021,1/27/2025 7:46
152,16837,161,91,586,AdWords,In Progress,4/23/2022,12,12/10/2024,7/30/2021 14:03
153,10345,147,404,2003,AdWords,Dropped,11/25/2025,96,6/20/2022,6/17/2025 12:36
154,7736,136,135,1756,LinkedIn,In Progress,5/19/2021,170,11/5/2025,10/10/2024 7:56
155,18436,90,92,1046,AdWords,In Progress,11/24/2022,22,5/14/2024,11/5/2022 20:54
156,17025,56,314,1507,Direct,In Progress,11/21/2023,27,5/24/2025,2/7/2024 20:52
157,7181,99,401,905,LinkedIn,Completed,9/21/2020,122,4/22/2020,6/16/2022 21:37
158,7601,131,256,839,AdWords,Completed,5/1/2025,144,12/1/2023,4/7/2022 13:24
159,10066,24,24,1318,Referral,Dropped,10/7/2020,31,7/18/2022,8/9/2023 0:46
160,8545,48,434,20,LinkedIn,Dropped,5/20/2023,143,4/21/2021,1/20/2020 12:51
161,11126,159,462,77,AdWords,Dropped,8/28/2023,121,7/14/2023,3/11/2020 7:28
162,19199,53,328,2118,AdWords,In Progress,2/26/2020,137,4/4/2020,10/12/2025 17:33
163,17006,88,336,2127,LinkedIn,In Progress,9/7/2021,17,10/8/2020,10/14/2025 21:15
164,9700,185,136,675,AdWords,Completed,7/12/2022,144,12/29/2021,10/29/2021 8:36
165,12316,45,437,782,AdWords,Dropped,1/17/2020,72,3/30/2021,2/16/2022 12:29
166,12508,67,358,719,Referral,Dropped,9/30/2022,62,8/27/2023,12/17/2021 2:22
167,7816,161,474,12,Referral,Dropped,8/13/2022,156,8/30/2023,1/1/2020 17:59
168,13021,18,412,1465,Referral,In Progress,4/29/2025,21,6/17/2025,12/28/2023 9:35
169,9695,110,298,74,Referral,In Progress,12/8/2023,42,2/6/2024,3/9/2020 4:27
170,14366,161,203,1346,AdWords,Completed,3/25/2023,173,6/16/2021,8/28/2023 5:00
171,5023,47,157,1366,LinkedIn,Completed,5/3/2024,40,6/19/2020,9/25/2023 7:07
172,8684,115,278,2013,Referral,Completed,5/17/2022,135,12/3/2021,7/5/2025 23:52
173,12008,48,11,2109,AdWords,Dropped,5/27/2022,67,5/27/2025,10/7/2025 6:41
174,19285,59,210,574,LinkedIn,Dropped,9/29/2025,28,12/9/2023,7/23/2021 20:14
175,2836,91,445,388,AdWords,Dropped,8/2/2022,28,1/23/2023,1/8/2021 17:33
176,7825,180,228,22,LinkedIn,Completed,5/8/2020,34,11/30/2020,1/9/2020 13:18
177,17853,94,346,1574,LinkedIn,In Progress,6/16/2023,80,4/28/2021,4/20/2024 14:43
178,7422,141,101,962,Direct,Dropped,6/12/2024,105,4/15/2021,8/19/2022 9:29
179,18696,12,494,1628,AdWords,Dropped,7/2/2024,65,10/22/2020,6/11/2024 20:09
180,12834,11,147,872,AdWords,Dropped,5/2/2024,174,6/14/2021,5/12/2022 11:43
181,1744,163,56,177,AdWords,Completed,3/3/2024,56,2/7/2021,6/19/2020 6:57
182,2841,41,123,1057,LinkedIn,Completed,4/25/2022,68,10/25/2022,11/8/2022 6:52
183,5097,159,415,432,Direct,In Progress,6/14/2021,11,6/6/2020,2/22/2021 10:26
184,1771,37,259,442,AdWords,Dropped,9/8/2020,15,1/3/2021,3/11/2021 12:19
185,900,184,71,703,Referral,In Progress,2/27/2024,68,5/17/2025,11/23/2021 14:24
186,3607,136,319,1012,LinkedIn,Dropped,8/30/2024,36,8/3/2024,9/30/2022 17:08
187,1349,8,240,452,Direct,Completed,10/28/2024,108,7/11/2025,3/13/2021 6:39
188,11370,153,475,1025,Direct,Completed,7/8/2020,106,6/19/2024,10/7/2022 5:33
189,13655,16,318,1455,LinkedIn,Dropped,10/15/2022,163,3/22/2020,12/16/2023 22:20
190,335,33,36,2086,Referral,Dropped,12/16/2024,167,3/22/2024,9/7/2025 10:23
191,2468,6,246,605,Referral,Completed,2/8/2021,173,12/13/2021,8/16/2021 7:55
192,9155,94,148,1045,Referral,In Progress,1/25/2021,171,9/6/2020,10/29/2022 19:06
193,12138,26,92,380,Referral,In Progress,9/21/2021,68,3/19/2021,1/12/2021 0:03
194,10618,193,14,1671,AdWords,Dropped,3/31/2022,112,9/1/2025,7/14/2024 7:50
195,9075,75,486,177,Direct,In Progress,5/3/2021,86,7/20/2020,6/19/2020 7:07
196,6923,104,477,1666,Referral,In Progress,4/3/2022,73,4/27/2023,7/23/2024 18:55
197,6234,13,130,1656,LinkedIn,In Progress,9/29/2023,178,6/11/2024,7/10/2024 2:12
198,15466,160,261,513,LinkedIn,Completed,10/24/2025,31,6/19/2020,5/15/2021 4:57
199,14806,176,375,382,AdWords,Completed,6/22/2021,106,9/17/2024,1/13/2021 2:20
200,11937,62,441,1212,Direct,Dropped,1/6/2021,58,2/24/2020,4/13/2023 14:34
201,17408,160,104,1337,Referral,In Progress,8/17/2024,135,5/16/2024,8/25/2023 13:04
202,10892,71,328,2153,AdWords,Dropped,7/12/2022,161,3/7/2024,11/16/2025 20:51
203,13865,94,9,1616,Referral,Completed,4/14/2021,49,10/13/2022,5/28/2024 14:07
204,10693,3,474,480,LinkedIn,Dropped,8/20/2024,76,2/3/2020,4/12/2021 23:01
205,11631,11,178,1329,Direct,Completed,1/31/2023,67,7/18/2021,8/7/2023 16:58
206,18813,156,134,1170,AdWords,Dropped,7/19/2024,70,8/4/2021,3/5/2023 17:23
207,14230,124,181,1350,Direct,Dropped,1/16/2022,126,3/4/2021,8/30/2023 1:41
208,3227,60,415,438,AdWords,In Progress,5/27/2022,155,4/4/2023,3/10/2021 11:53
209,13617,183,407,1828,Referral,Completed,1/15/2021,31,6/23/2023,12/20/2024 15:15
210,10974,45,210,1528,LinkedIn,Dropped,9/25/2024,26,9/21/2023,3/1/2024 3:03
211,4077,55,350,1000,LinkedIn,Dropped,11/7/2025,135,7/18/2024,9/16/2022 1:58
212,10249,177,29,1082,AdWords,Completed,6/15/2020,152,12/9/2025,12/15/2022 13:29
213,13105,139,38,1283,Direct,Completed,3/25/2024,95,1/13/2025,7/1/2023 10:45
214,11116,43,480,1686,Referral,Completed,8/20/2023,167,2/27/2020,8/1/2024 12:29
215,2051,175,366,1651,AdWords,In Progress,11/11/2021,50,5/27/2024,7/7/2024 6:34
216,17990,124,272,1940,Direct,Dropped,6/20/2023,27,7/30/2022,4/14/2025 9:41
217,2891,105,343,1818,AdWords,Completed,4/24/2021,30,1/15/2020,12/10/2024 23:12
218,18692,139,164,214,Referral,Dropped,11/16/2024,162,7/18/2025,7/19/2020 0:36
219,17868,200,306,1800,LinkedIn,Completed,4/23/2022,132,1/10/2024,11/26/2024 20:53
220,12022,185,444,122,AdWords,In Progress,1/3/2025,40,5/26/2025,4/27/2020 3:48
221,9459,138,368,1056,LinkedIn,Dropped,3/22/2021,10,1/29/2020,11/16/2022 17:48
222,19581,95,361,1383,AdWords,In Progress,3/25/2020,18,11/23/2020,10/3/2023 5:10
223,6336,123,255,1221,Referral,In Progress,8/9/2022,40,4/15/2021,4/24/2023 1:57
224,3491,121,364,555,LinkedIn,Completed,2/8/2020,81,2/27/2023,6/27/2021 2:18
225,11031,24,14,923,AdWords,In Progress,12/12/2022,152,10/18/2025,6/30/2022 13:17
226,17364,79,383,864,Referral,In Progress,7/22/2025,35,4/12/2020,5/10/2022 7:59
227,6924,55,468,1655,LinkedIn,Dropped,9/26/2020,91,9/2/2020,6/29/2024 15:16
228,1001,64,483,437,Direct,Dropped,12/11/2023,128,2/16/2021,2/27/2021 18:10
229,16455,44,281,138,Direct,Dropped,6/14/2024,39,10/18/2021,5/7/2020 17:14
230,1547,108,274,2055,Direct,In Progress,12/8/2021,132,5/8/2020,8/7/2025 5:07
231,17163,64,403,892,LinkedIn,Completed,10/8/2020,26,10/30/2022,6/4/2022 13:43
232,5995,179,238,1718,AdWords,Dropped,12/24/2021,33,1/8/2021,9/2/2024 2:28
233,6614,190,199,1293,Direct,Completed,9/14/2020,157,11/24/2024,7/8/2023 15:16
234,3653,58,215,58,LinkedIn,In Progress,5/27/2020,133,10/21/2024,2/21/2020 0:25
235,8173,93,100,2139,Referral,Completed,4/17/2024,14,8/6/2024,10/26/2025 11:55
236,1378,176,465,389,AdWords,Dropped,2/20/2020,25,3/6/2024,1/23/2021 13:04
237,6747,111,286,1240,LinkedIn,Completed,6/8/2025,108,2/10/2024,5/24/2023 18:03
238,14486,148,31,508,AdWords,Dropped,12/25/2020,97,10/26/2020,5/14/2021 21:55
239,6622,176,275,351,AdWords,Dropped,10/11/2021,127,4/4/2022,12/6/2020 18:23
240,2825,170,494,1523,LinkedIn,Dropped,6/11/2025,137,5/17/2022,2/18/2024 8:10
241,1735,39,364,336,AdWords,Completed,9/14/2021,41,9/2/2024,11/23/2020 6:29
242,17606,70,482,373,AdWords,Completed,6/4/2021,144,4/1/2022,1/4/2021 13:39
243,10642,101,85,185,Referral,Completed,3/4/2020,42,11/5/2024,6/21/2020 4:47
244,13615,68,60,1361,AdWords,In Progress,7/23/2020,118,8/15/2022,9/14/2023 17:47
245,6331,171,13,2135,Referral,Completed,2/19/2024,173,12/29/2021,11/2/2025 8:34
246,17747,137,324,461,AdWords,Completed,6/26/2025,110,9/3/2025,3/30/2021 20:43
247,12201,175,331,745,LinkedIn,Completed,5/5/2022,108,3/29/2020,1/9/2022 6:55
248,13907,4,102,1558,Referral,In Progress,2/1/2021,133,8/8/2024,3/30/2024 8:44
249,8798,105,185,852,Direct,Completed,5/24/2020,79,2/13/2024,4/21/2022 3:32
250,5786,36,467,1512,Referral,Completed,10/15/2022,24,12/26/2024,2/12/2024 16:35
251,16081,90,333,816,Referral,In Progress,7/1/2020,145,3/29/2020,3/13/2022 11:20
252,4101,14,79,1009,AdWords,Dropped,1/11/2020,78,4/5/2025,10/1/2022 5:37
253,12425,181,463,1112,Referral,Completed,6/14/2024,81,10/25/2023,1/16/2023 17:04
254,5113,162,460,43,Direct,Completed,10/12/2020,16,6/14/2025,2/10/2020 7:04
255,8142,10,38,961,AdWords,In Progress,4/20/2024,52,2/23/2024,8/9/2022 20:20
256,11441,64,88,370,LinkedIn,In Progress,1/30/2025,118,9/21/2020,12/24/2020 14:24
257,8132,75,482,1672,Referral,In Progress,7/14/2023,123,11/30/2023,7/22/2024 2:09
258,16830,50,329,41,LinkedIn,In Progress,2/9/2024,12,8/18/2025,1/27/2020 1:57
259,10542,196,324,1736,AdWords,In Progress,1/5/2020,129,1/14/2023,9/21/2024 23:18
260,14847,32,300,1944,Direct,Completed,6/11/2022,84,7/18/2024,4/22/2025 22:31
261,11797,45,223,404,Direct,Dropped,2/20/2022,86,5/28/2021,1/31/2021 8:17
262,1779,17,149,239,Referral,In Progress,12/25/2023,142,9/11/2020,8/18/2020 7:57
263,1308,62,93,902,Referral,Completed,12/12/2022,97,3/5/2022,6/17/2022 3:33
264,14344,168,244,1952,AdWords,Dropped,7/13/2022,139,3/9/2025,5/5/2025 1:47
265,17057,115,318,1969,LinkedIn,Completed,1/10/2023,72,2/24/2024,5/9/2025 13:14
266,871,181,25,615,Direct,Completed,9/24/2025,155,4/19/2020,9/6/2021 1:23
267,4774,35,53,2113,Direct,In Progress,6/8/2025,21,2/17/2025,10/4/2025 1:04
268,8946,115,264,1507,Direct,Dropped,8/5/2020,162,8/23/2024,2/12/2024 21:52
269,6756,17,402,1073,Referral,In Progress,10/28/2023,87,4/29/2025,11/27/2022 6:53
270,1100,180,401,1351,AdWords,In Progress,3/3/2023,163,6/28/2020,8/30/2023 11:31
271,7542,121,172,1512,Direct,In Progress,5/5/2020,89,12/24/2021,2/14/2024 5:08
272,5339,6,169,71,AdWords,Dropped,12/20/2021,60,9/4/2022,3/10/2020 17:54
273,18174,131,313,897,AdWords,Dropped,6/1/2024,128,10/26/2021,6/13/2022 3:04
274,15516,38,35,613,Referral,Dropped,5/11/2021,69,1/15/2025,9/4/2021 18:04
275,13107,178,81,376,Referral,Dropped,11/7/2024,156,3/6/2020,1/6/2021 12:57
276,717,136,68,1274,AdWords,Dropped,3/2/2022,15,4/3/2025,6/27/2023 19:40
277,2529,116,311,156,LinkedIn,In Progress,8/26/2025,124,9/6/2020,5/28/2020 20:40
278,19896,99,139,1,Direct,In Progress,9/22/2021,112,1/4/2025,1/1/2020 22:33
279,8448,173,351,658,LinkedIn,In Progress,5/22/2021,157,12/27/2025,10/9/2021 1:06
280,16013,129,173,1936,AdWords,In Progress,2/20/2023,170,12/28/2023,4/19/2025 7:25
281,14712,24,488,691,Direct,Completed,12/9/2023,22,3/30/2024,11/20/2021 18:00
282,14762,145,52,1767,Referral,In Progress,11/16/2025,146,9/23/2023,10/31/2024 8:51
283,9606,24,112,844,Direct,In Progress,7/6/2020,15,10/19/2021,4/12/2022 3:33
284,15958,152,190,382,Referral,In Progress,4/3/2024,93,4/10/2024,1/11/2021 15:25
285,7599,44,224,623,AdWords,Dropped,11/3/2025,102,3/19/2022,9/8/2021 18:56
286,6069,188,435,1726,Direct,Completed,8/12/2022,41,8/3/2021,9/17/2024 9:31
287,6662,150,409,1747,Referral,Dropped,5/28/2020,11,10/5/2022,10/12/2024 5:11
