QuizAttemptID,EnrollmentID,QuizType,Score,MaxScore,AttemptDate,CreatedDate
55,3145,Final,60.2,100,2023-08-07,2020-05-04
56,18095,Final,55.0,100,2020-08-07,2024-10-24
57,9956,Final,84.31,100,2025-07-25,2021-10-02
58,13313,Pre-test,95.09,100,2021-02-15,2025-12-31
59,21928,Weekly,97.74,100,2020-07-07,2021-09-28
60,4488,Pre-test,72.52,100,2021-04-05,2021-05-24
61,13814,Pre-test,68.7,100,2022-05-11,2022-10-12
62,23886,Pre-test,60.15,100,2021-11-15,2021-11-22
63,8737,Final,80.28,100,2024-02-29,2021-10-03
64,1290,Weekly,43.56,100,2024-06-30,2025-07-01
65,6343,Final,80.45,100,2020-11-16,2024-03-01
66,19502,Pre-test,57.83,100,2025-07-18,2020-01-12
67,2313,Final,61.66,100,2020-07-07,2024-08-06
68,12645,Weekly,94.68,100,2023-08-07,2021-08-22
69,9925,Weekly,70.08,100,2024-06-21,2024-03-23
70,18070,Weekly,42.69,100,2023-09-16,2022-04-04
71,4615,Pre-test,48.67,100,2022-04-08,2025-05-30
72,13609,Weekly,94.26,100,2024-01-20,2021-06-25
73,23086,Pre-test,41.58,100,2025-05-12,2020-06-29
74,19660,Weekly,87.27,100,2022-01-09,2025-03-14
75,14133,Weekly,65.11,100,2021-10-21,2021-11-03
76,21006,Pre-test,84.87,100,2024-07-08,2025-05-12
77,8668,Weekly,71.17,100,2022-11-26,2021-03-15
78,14446,Weekly,40.27,100,2021-07-19,2025-11-07
79,9648,Weekly,44.72,100,2025-12-09,2021-02-03
80,4149,Final,62.54,100,2023-09-15,2024-01-26
81,679,Pre-test,98.37,100,2020-05-15,2023-03-10
82,1923,Pre-test,44.45,100,2021-02-18,2022-02-02
83,10101,Weekly,94.0,100,2020-11-07,2021-08-24
84,16887,Pre-test,72.37,100,2022-12-24,2021-03-14
85,23063,Pre-test,44.32,100,2020-08-21,2025-03-21
86,12385,Pre-test,59.52,100,2022-10-04,2021-07-19
87,13678,Pre-test,84.16,100,2022-09-01,2020-03-10
88,14741,Pre-test,50.39,100,2020-01-19,2023-04-04
89,17342,Final,45.27,100,2021-06-05,2025-07-28
90,5296,Final,58.71,100,2020-05-16,2020-11-28
91,13360,Weekly,65.22,100,2021-02-17,2020-02-29
92,6524,Final,45.43,100,2025-08-08,2022-05-11
93,19093,Final,82.37,100,2025-05-23,2022-03-28
94,18984,Weekly,40.09,100,2025-10-05,2020-02-05
95,21828,Weekly,98.55,100,2025-08-28,2025-11-27
96,12505,Pre-test,72.28,100,2025-10-01,2025-03-15
97,22067,Weekly,50.62,100,2022-10-06,2025-05-09
98,10471,Weekly,90.71,100,2020-02-06,2021-10-03
99,18122,Final,96.78,100,2020-03-25,2025-04-26
100,8026,Weekly,61.7,100,2020-03-27,2020-07-12
101,8242,Final,52.99,100,2022-07-03,2025-10-13
102,12233,Pre-test,90.65,100,2025-06-05,2023-03-20
103,11472,Final,45.77,100,2024-04-06,2022-12-17
104,3613,Pre-test,68.55,100,2023-11-01,2023-11-12
105,17503,Pre-test,83.17,100,2024-12-12,2022-07-19
106,8190,Weekly,59.75,100,2021-01-29,2024-11-30
107,16579,Weekly,44.6,100,2024-08-17,2020-02-01
108,15313,Pre-test,47.5,100,2020-02-01,2021-11-24
109,9692,Pre-test,41.17,100,2022-04-14,2020-02-14
110,5779,Weekly,44.47,100,2021-06-18,2023-08-05
111,10615,Weekly,96.55,100,2022-06-09,2025-03-25
112,1829,Pre-test,68.46,100,2020-01-13,2022-08-10
113,22368,Weekly,90.08,100,2024-06-10,2025-08-04
114,428,Pre-test,99.6,100,2025-10-13,2021-09-28
115,22671,Pre-test,78.48,100,2023-04-05,2022-10-02
116,23718,Pre-test,69.05,100,2021-05-04,2023-05-20
117,5959,Weekly,46.25,100,2020-06-26,2025-07-21
118,10509,Pre-test,45.5,100,2025-09-09,2022-04-30
119,9552,Pre-test,94.78,100,2021-08-12,2023-12-21
120,20754,Weekly,41.86,100,2024-07-15,2020-07-12
121,17534,Weekly,96.9,100,2021-02-12,2021-07-20
122,2161,Final,96.32,100,2022-05-12,2021-11-20
123,3750,Pre-test,68.92,100,2020-03-14,2023-08-18
124,16960,Weekly,93.63,100,2025-03-22,2025-08-25
125,1426,Weekly,98.27,100,2022-04-02,2021-12-06
126,1788,Weekly,75.64,100,2022-11-08,2022-04-25
127,1482,Final,96.15,100,2021-09-04,2024-12-27
128,20123,Weekly,54.39,100,2020-04-20,2020-02-10
129,18869,Pre-test,66.39,100,2024-04-15,2022-05-28
130,2690,Weekly,73.19,100,2024-12-11,2021-06-20
131,8525,Weekly,96.71,100,2025-11-24,2023-05-11
132,12944,Pre-test,40.53,100,2024-02-25,2021-01-09
133,13094,Pre-test,96.9,100,2020-04-21,2020-04-21
134,18681,Final,41.42,100,2020-10-12,2022-05-18
135,4736,Weekly,94.27,100,2021-06-26,2023-04-17
136,8777,Weekly,66.22,100,2022-04-18,2023-12-12
137,1024,Pre-test,46.42,100,2022-01-14,2021-07-29
138,8952,Final,86.88,100,2022-09-18,2024-09-10
139,12508,Pre-test,60.54,100,2020-10-10,2021-08-23
140,1421,Final,60.46,100,2021-05-03,2022-06-07
141,1967,Pre-test,50.79,100,2020-09-16,2025-08-22
142,16391,Weekly,99.53,100,2023-02-18,2023-01-21
143,2292,Weekly,52.49,100,2023-05-22,2020-10-03
144,462,Pre-test,53.35,100,2020-11-11,2022-03-16
145,4221,Pre-test,69.58,100,2020-07-02,2023-07-27
146,22877,Final,42.45,100,2021-05-16,2020-07-13
147,23096,Weekly,83.42,100,2022-09-08,2025-11-10
148,6896,Pre-test,46.12,100,2024-10-09,2023-04-15
149,13119,Pre-test,78.81,100,2022-08-30,2021-05-21
150,17349,Final,78.9,100,2025-12-03,2024-10-16
151,3132,Final,97.72,100,2022-02-04,2024-02-11
152,6120,Final,49.1,100,2024-04-14,2022-01-16
153,20695,Final,42.29,100,2023-05-22,2025-12-02
154,14473,Pre-test,74.65,100,2023-10-26,2024-09-26
155,19267,Pre-test,48.73,100,2024-07-27,2024-06-20
156,10166,Final,50.16,100,2024-08-28,2023-04-19
157,9526,Pre-test,83.14,100,2025-06-23,2021-11-02
158,8801,Final,81.9,100,2023-12-03,2020-07-18
159,6894,Pre-test,94.49,100,2023-04-19,2023-07-11
160,16887,Pre-test,47.81,100,2021-06-16,2020-10-20
161,22031,Weekly,42.89,100,2024-12-24,2021-02-28
162,21290,Final,62.89,100,2020-07-15,2022-08-22
163,20881,Pre-test,65.96,100,2024-12-12,2024-05-01
164,7249,Weekly,66.46,100,2023-12-08,2022-10-21
165,17668,Pre-test,86.03,100,2023-06-15,2020-01-27
166,5752,Weekly,92.02,100,2024-07-09,2023-11-25
167,24308,Final,70.49,100,2025-08-13,2023-04-25
168,10333,Weekly,97.17,100,2025-08-25,2023-04-22
169,8593,Final,95.47,100,2024-10-31,2022-02-07
170,582,Weekly,70.71,100,2020-10-30,2022-09-19
171,3843,Weekly,60.01,100,2021-02-01,2021-07-19
172,21535,Pre-test,88.69,100,2021-07-08,2023-02-05
173,1113,Weekly,73.36,100,2021-05-01,2025-07-01
174,8226,Final,43.02,100,2024-10-15,2021-10-09
175,5862,Pre-test,94.72,100,2022-09-08,2022-06-15
176,20600,Final,54.35,100,2021-08-22,2020-10-03
177,20201,Weekly,77.99,100,2024-04-10,2020-12-23
178,18865,Pre-test,62.62,100,2022-10-06,2024-05-06
179,21808,Weekly,89.89,100,2021-01-31,2025-01-08
180,23755,Pre-test,74.08,100,2021-07-22,2024-01-29
181,24943,Final,65.97,100,2021-11-18,2022-02-08
182,13279,Pre-test,71.34,100,2024-05-29,2024-02-22
183,12021,Pre-test,70.07,100,2021-11-25,2022-08-03
184,15447,Weekly,78.37,100,2020-02-26,2024-03-09
185,18030,Weekly,60.68,100,2022-03-26,2024-04-13
186,19303,Final,86.67,100,2020-12-14,2024-05-11
187,16547,Weekly,93.88,100,2021-03-08,2023-04-07
188,13986,Final,51.89,100,2020-01-26,2025-05-31
189,20752,Pre-test,60.93,100,2021-03-06,2023-07-27
190,17785,Final,85.01,100,2020-02-28,2022-06-03
191,8340,Weekly,76.37,100,2022-11-23,2024-11-09
192,2078,Pre-test,42.04,100,2025-01-31,2020-02-13
193,19689,Weekly,90.26,100,2024-01-10,2024-02-06
194,18876,Pre-test,58.97,100,2020-09-08,2023-10-23
195,13628,Weekly,71.34,100,2020-08-26,2024-07-05
196,5153,Pre-test,64.14,100,2020-10-23,2021-02-18
197,11844,Pre-test,75.8,100,2023-03-23,2025-07-15
198,7780,Weekly,51.88,100,2023-03-08,2024-06-05
199,12999,Pre-test,49.0,100,2025-04-13,2020-02-16
200,10464,Weekly,43.65,100,2024-07-21,2024-11-10
201,24692,Final,49.33,100,2020-04-19,2025-03-12
202,14477,Final,66.76,100,2020-08-26,2022-02-05
203,24252,Final,82.81,100,2023-10-02,2022-01-19
204,7974,Weekly,45.43,100,2021-01-16,2024-01-21
205,16976,Weekly,47.78,100,2025-03-30,2021-11-05
206,8272,Final,85.87,100,2023-01-08,2020-02-07
207,1287,Final,65.91,100,2022-11-07,2020-05-16
208,8899,Final,65.12,100,2024-09-14,2023-12-29
209,22961,Pre-test,43.09,100,2023-03-17,2020-11-25
210,3373,Pre-test,58.88,100,2025-10-18,2023-02-07
211,7368,Final,41.43,100,2023-06-28,2021-06-15
212,11706,Pre-test,53.47,100,2022-10-03,2021-09-24
213,20732,Final,61.72,100,2022-06-26,2024-08-15
214,4971,Final,60.72,100,2025-10-05,2020-08-29
215,12113,Weekly,45.46,100,2021-04-25,2023-12-09
216,669,Weekly,90.91,100,2023-03-12,2024-07-08
217,24567,Final,56.56,100,2021-04-04,2025-03-26
218,16701,Weekly,56.92,100,2025-03-02,2022-06-29
219,770,Weekly,80.82,100,2022-08-27,2021-05-29
220,9123,Weekly,81.42,100,2022-09-01,2025-10-15
221,12823,Weekly,87.91,100,2021-04-06,2022-03-20
222,894,Pre-test,42.72,100,2024-11-28,2021-11-11
223,12781,Weekly,64.13,100,2025-12-04,2020-11-15
224,18135,Pre-test,97.24,100,2021-06-10,2024-10-08
225,1592,Final,79.56,100,2020-10-30,2020-08-29
226,12799,Weekly,85.01,100,2021-05-20,2022-07-18
227,4364,Pre-test,98.47,100,2021-02-06,2023-01-25
228,15738,Pre-test,90.68,100,2021-05-03,2024-10-04
229,12576,Weekly,69.67,100,2023-06-17,2021-09-23
230,11077,Weekly,63.36,100,2023-03-25,2021-06-06
231,9261,Pre-test,54.65,100,2024-01-01,2022-02-19
232,10165,Final,46.89,100,2022-10-13,2025-01-21
233,19153,Pre-test,90.61,100,2025-05-31,2024-11-19
234,21475,Weekly,88.81,100,2020-04-16,2022-01-26
235,14378,Pre-test,99.82,100,2022-08-10,2020-08-27
236,11531,Weekly,56.53,100,2021-10-02,2024-12-21
237,12983,Final,89.4,100,2024-08-20,2022-03-23
238,4219,Weekly,97.89,100,2024-07-09,2025-12-30
239,19761,Weekly,70.23,100,2023-06-14,2020-09-24
240,20356,Weekly,92.64,100,2022-02-13,2022-03-10
241,21483,Pre-test,90.85,100,2024-11-03,2025-01-16
242,24016,Weekly,87.55,100,2020-05-16,2020-02-26
243,20586,Final,72.84,100,2024-09-29,2022-06-03
244,801,Pre-test,41.22,100,2022-10-14,2023-02-15
245,3191,Final,79.84,100,2021-03-16,2024-10-09
246,24935,Weekly,56.37,100,2021-08-15,2023-08-18
247,1618,Pre-test,43.78,100,2025-03-31,2020-09-14
248,16864,Weekly,43.5,100,2025-04-21,2023-05-21
249,16674,Final,60.5,100,2021-04-23,2022-05-21
250,8583,Pre-test,74.11,100,2021-07-26,2024-01-04
251,4544,Weekly,50.17,100,2020-10-20,2020-03-02
252,13639,Weekly,96.24,100,2025-07-17,2025-05-20
253,2336,Final,47.34,100,2025-08-19,2020-03-26
254,8891,Final,94.41,100,2020-06-18,2020-10-17
255,22278,Weekly,96.64,100,2023-07-27,2023-02-16
256,19960,Pre-test,97.3,100,2023-07-09,2023-06-29
257,23260,Weekly,71.72,100,2024-05-23,2022-10-29
258,8684,Final,93.21,100,2020-07-09,2021-04-17
259,15845,Pre-test,53.24,100,2023-12-02,2021-04-07
260,5661,Final,71.96,100,2025-02-20,2024-02-15
261,14318,Pre-test,54.5,100,2022-02-15,2025-10-19
262,17835,Pre-test,71.72,100,2021-12-26,2022-08-09
263,10117,Weekly,96.4,100,2024-04-19,2020-11-01
264,16333,Pre-test,45.62,100,2025-12-05,2025-11-29
265,2814,Pre-test,76.22,100,2020-01-25,2021-07-15
266,6030,Final,70.25,100,2025-06-09,2024-12-09
267,15781,Weekly,62.7,100,2022-05-19,2022-03-16
268,13580,Weekly,74.1,100,2022-10-02,2023-07-28
269,402,Pre-test,72.78,100,2024-09-29,2020-05-06
270,15335,Final,90.81,100,2024-05-23,2025-04-27
271,2860,Pre-test,40.64,100,2020-09-22,2024-08-29
272,11891,Pre-test,45.13,100,2024-09-20,2025-01-15
273,14116,Pre-test,58.0,100,2023-12-27,2025-09-08
274,6037,Weekly,98.64,100,2023-05-09,2020-11-11
275,6811,Weekly,75.25,100,2021-12-07,2024-09-21
276,12132,Pre-test,81.78,100,2021-02-19,2024-05-04
277,18546,Pre-test,42.36,100,2022-12-12,2020-02-10
278,5126,Pre-test,93.29,100,2021-03-24,2021-08-06
279,717,Weekly,71.17,100,2021-11-09,2022-06-14
280,17282,Pre-test,46.13,100,2024-02-18,2024-02-23
281,20398,Pre-test,49.16,100,2021-02-14,2025-01-31
282,21533,Pre-test,94.76,100,2023-09-07,2024-02-23
283,21164,Pre-test,47.04,100,2022-06-19,2024-10-11
284,12781,Pre-test,68.15,100,2021-04-10,2023-06-06
285,22537,Weekly,58.09,100,2022-07-22,2020-05-21
286,3251,Final,91.93,100,2021-08-25,2025-12-15
287,21397,Pre-test,85.51,100,2022-08-07,2022-09-02
288,2791,Weekly,79.67,100,2022-12-25,2025-12-08
289,16131,Final,43.58,100,2024-09-19,2020-07-04
290,936,Final,46.05,100,2022-02-09,2021-01-05
291,15628,Weekly,77.99,100,2022-02-17,2020-02-05
292,7173,Final,80.45,100,2020-07-21,2021-11-26
293,6364,Pre-test,58.02,100,2021-07-25,2023-03-08
294,17646,Final,77.54,100,2022-07-17,2022-09-21
295,24229,Pre-test,41.86,100,2023-03-07,2020-11-24
296,8190,Final,41.67,100,2025-04-10,2024-10-30
297,20881,Weekly,53.45,100,2025-01-08,2021-10-30
298,17569,Weekly,49.01,100,2023-02-23,2022-11-01
299,9933,Pre-test,52.35,100,2021-12-08,2020-07-21
300,14629,Pre-test,56.04,100,2022-11-20,2022-01-13
301,23310,Pre-test,50.29,100,2025-02-03,2024-08-01
302,15933,Final,78.77,100,2025-04-13,2021-03-05
303,23826,Pre-test,50.32,100,2025-01-11,2024-09-16
304,17275,Weekly,49.17,100,2020-08-14,2024-07-21
305,23873,Final,71.46,100,2022-03-20,2022-07-08
306,3505,Final,60.96,100,2025-06-05,2021-08-25
307,1045,Final,71.85,100,2020-09-01,2020-05-01
308,7702,Final,94.08,100,2025-07-25,2020-11-11
309,24838,Pre-test,82.71,100,2025-09-22,2024-04-14
310,9879,Final,47.78,100,2020-04-14,2024-07-03
311,11486,Weekly,46.25,100,2021-06-29,2025-05-24
312,4797,Weekly,96.55,100,2024-10-16,2021-01-03
313,7039,Weekly,49.86,100,2023-04-24,2022-07-05
314,15820,Pre-test,85.5,100,2024-08-24,2021-03-01
315,250,Weekly,85.51,100,2024-07-27,2024-08-20
316,15488,Pre-test,73.37,100,2023-05-20,2025-06-03
317,836,Final,83.25,100,2023-07-21,2022-09-28
318,18730,Weekly,67.12,100,2025-12-03,2021-05-20
319,12974,Final,53.98,100,2020-12-29,2023-03-21
320,15070,Weekly,83.83,100,2021-11-02,2024-09-02
321,12827,Pre-test,55.04,100,2024-11-15,2023-06-20
322,20828,Final,99.23,100,2021-05-23,2023-08-16
323,9051,Pre-test,77.38,100,2025-09-08,2020-05-04
324,19346,Weekly,85.86,100,2022-04-09,2024-10-02
325,18198,Final,74.18,100,2020-08-13,2020-01-16
326,15533,Final,44.51,100,2020-03-10,2022-03-09
327,2840,Final,68.89,100,2021-02-08,2022-12-23
328,8049,Pre-test,40.34,100,2025-01-09,2021-01-19
329,436,Final,82.82,100,2024-09-27,2025-07-09
330,7819,Weekly,88.03,100,2023-03-10,2023-11-08
331,19808,Weekly,48.67,100,2022-05-11,2022-02-02
332,19666,Weekly,86.34,100,2022-07-14,2021-08-03
333,24617,Final,80.69,100,2022-02-08,2022-10-24
334,24967,Weekly,56.27,100,2021-07-23,2023-03-31
335,13422,Pre-test,70.7,100,2025-06-14,2025-07-22
336,24568,Pre-test,77.96,100,2021-11-27,2020-02-21
337,21819,Final,41.41,100,2022-09-28,2021-01-09
338,7108,Pre-test,52.49,100,2023-03-21,2020-06-05
339,11331,Weekly,51.92,100,2023-10-11,2021-03-12
340,2268,Final,94.8,100,2021-06-28,2025-07-12
341,18840,Pre-test,78.61,100,2022-08-12,2024-08-04
342,9116,Weekly,86.06,100,2020-05-02,2024-07-31
343,15582,Weekly,84.07,100,2022-10-07,2023-11-10
344,6120,Final,57.63,100,2024-01-08,2023-05-01
345,13682,Final,81.31,100,2025-06-09,2020-08-13
346,5551,Weekly,49.02,100,2024-03-01,2020-02-14
347,10711,Weekly,58.73,100,2021-02-12,2020-09-20
348,14853,Final,85.2,100,2025-12-26,2025-05-26
349,1018,Pre-test,94.65,100,2025-10-12,2021-06-04
350,13553,Final,89.37,100,2021-06-06,2025-09-19
351,24002,Pre-test,74.33,100,2021-07-22,2024-11-27
352,16402,Pre-test,69.61,100,2021-01-30,2022-04-02
353,4210,Final,86.34,100,2021-11-27,2022-09-01
354,3004,Pre-test,93.69,100,2022-09-02,2022-08-26
355,7014,Weekly,98.07,100,2020-11-24,2025-02-09
356,20442,Weekly,93.38,100,2024-07-27,2020-01-28
357,20204,Pre-test,49.39,100,2023-08-31,2022-04-22
358,9277,Pre-test,65.8,100,2022-11-23,2024-10-24
359,14571,Pre-test,49.09,100,2023-05-30,2025-09-01
360,18080,Pre-test,88.37,100,2023-07-04,2023-10-21
361,4992,Final,58.25,100,2023-05-22,2020-12-21
362,6476,Pre-test,41.66,100,2020-01-21,2023-05-18
363,13180,Weekly,87.75,100,2024-10-07,2022-12-21
364,23035,Weekly,88.69,100,2024-08-27,2024-08-09
365,12522,Weekly,64.06,100,2025-02-20,2025-11-20
366,2646,Final,75.11,100,2025-02-25,2021-03-21
367,23737,Weekly,90.5,100,2020-03-04,2024-09-26
368,2677,Weekly,84.18,100,2023-07-16,2021-03-04
369,19925,Pre-test,40.62,100,2021-08-20,2022-02-10
370,6234,Final,86.55,100,2020-05-13,2022-04-30
371,11859,Weekly,99.43,100,2020-11-13,2025-12-07
372,10848,Final,50.79,100,2021-10-22,2024-08-09
373,21967,Pre-test,73.21,100,2022-05-24,2021-07-06
374,23070,Pre-test,78.49,100,2024-03-19,2022-08-25
375,12909,Weekly,81.92,100,2023-04-03,2025-11-02
376,4895,Weekly,77.81,100,2024-12-04,2020-02-01
377,6178,Pre-test,46.89,100,2020-12-07,2020-12-29
378,17017,Pre-test,91.99,100,2021-08-05,2023-01-19
379,9052,Final,65.69,100,2024-11-08,2021-05-28
380,14493,Weekly,47.13,100,2021-08-10,2023-07-08
381,4010,Pre-test,94.03,100,2024-10-08,2023-04-22
382,11855,Weekly,68.33,100,2023-02-26,2025-09-14
383,78,Final,86.69,100,2021-11-25,2022-05-12
384,5295,Weekly,78.65,100,2020-07-04,2023-04-21
385,22622,Weekly,55.58,100,2024-02-06,2021-02-28
386,20749,Weekly,75.72,100,2024-12-01,2023-07-22
387,16200,Pre-test,85.99,100,2020-04-23,2021-04-12
388,13312,Pre-test,52.45,100,2023-07-29,2024-11-14
389,13097,Final,49.41,100,2024-08-15,2023-07-26
390,13775,Final,42.82,100,2023-03-19,2024-02-10
391,17790,Final,69.21,100,2021-07-19,2024-10-08
392,17747,Weekly,56.3,100,2023-07-26,2020-07-03
393,10710,Final,88.99,100,2021-04-05,2025-06-06
394,20802,Pre-test,94.19,100,2022-12-25,2021-01-14
395,19753,Final,42.97,100,2022-01-11,2022-09-12
396,23480,Final,97.19,100,2025-12-25,2020-12-18
397,13762,Pre-test,61.72,100,2025-05-30,2022-12-26
398,3448,Pre-test,94.76,100,2021-12-18,2024-05-05
399,17440,Weekly,78.34,100,2020-07-06,2023-08-28
400,1213,Pre-test,68.26,100,2025-06-02,2023-04-06
401,773,Final,95.87,100,2025-11-28,2022-02-26
402,20321,Pre-test,97.6,100,2025-08-29,2025-12-22
403,16437,Pre-test,42.75,100,2020-04-15,2023-03-20
404,16547,Weekly,80.74,100,2025-10-07,2020-12-10
405,9549,Pre-test,61.99,100,2025-07-31,2020-03-24
406,13942,Weekly,41.83,100,2020-04-30,2021-01-10
407,10107,Final,81.29,100,2022-11-17,2023-10-23
408,24441,Weekly,74.72,100,2024-10-04,2024-10-25
409,1902,Final,49.81,100,2025-12-20,2022-12-03
410,7810,Pre-test,84.26,100,2022-07-11,2022-08-04
411,4984,Weekly,89.93,100,2023-10-28,2021-03-11
412,18129,Pre-test,60.51,100,2024-05-08,2020-06-17
413,24500,Pre-test,90.96,100,2022-09-10,2023-07-24
414,789,Weekly,55.58,100,2020-07-15,2020-07-12
415,7020,Pre-test,89.87,100,2022-04-02,2020-03-15
416,24919,Weekly,58.02,100,2023-07-02,2021-10-28
417,19394,Pre-test,54.6,100,2024-08-14,2024-12-02
418,13752,Pre-test,63.47,100,2023-09-14,2023-08-14
419,6782,Weekly,93.02,100,2020-12-07,2020-11-05
420,2032,Weekly,50.48,100,2023-07-12,2020-06-24
421,6420,Pre-test,45.05,100,2021-07-28,2023-09-30
422,392,Final,86.23,100,2025-04-08,2023-05-10
423,11499,Weekly,72.78,100,2021-12-04,2021-08-15
424,90,Final,75.9,100,2022-02-22,2020-04-28
425,18638,Final,55.98,100,2022-08-02,2023-05-21
426,11622,Weekly,89.56,100,2020-05-16,2024-10-20
427,11194,Weekly,84.38,100,2022-11-19,2021-12-22
428,24009,Final,64.65,100,2024-03-02,2023-08-31
429,24371,Weekly,50.93,100,2020-12-11,2021-06-02
430,18061,Pre-test,59.1,100,2024-08-20,2022-06-03
431,23868,Weekly,61.69,100,2020-08-03,2020-11-17
432,8600,Final,67.19,100,2022-09-14,2020-09-16
433,13915,Pre-test,46.77,100,2024-07-14,2020-03-11
434,16447,Weekly,43.51,100,2023-08-01,2022-07-04
435,16970,Pre-test,73.04,100,2023-11-23,2022-04-12
436,338,Pre-test,44.85,100,2025-04-28,2020-06-23
437,11623,Final,75.43,100,2023-07-17,2025-08-11
438,18328,Final,71.12,100,2023-07-05,2022-05-31
439,24579,Pre-test,59.48,100,2024-03-04,2022-01-04
440,2421,Weekly,55.92,100,2022-07-09,2025-10-20
441,22813,Final,50.58,100,2024-02-16,2024-08-22
442,14442,Pre-test,66.04,100,2022-08-28,2024-07-15
443,9687,Final,83.38,100,2021-01-18,2024-04-07
444,24536,Weekly,98.85,100,2025-06-23,2021-06-17
445,7215,Pre-test,57.06,100,2022-01-07,2022-05-27
446,15814,Final,89.26,100,2022-09-09,2022-03-29
447,19951,Pre-test,85.13,100,2024-10-09,2024-05-17
448,16512,Pre-test,94.81,100,2025-09-27,2024-10-18
449,20213,Final,47.93,100,2021-05-05,2025-01-24
450,4276,Final,99.94,100,2023-07-26,2020-11-30
451,19145,Final,95.89,100,2021-12-06,2024-07-13
452,4488,Weekly,62.16,100,2023-07-08,2021-06-03
453,23030,Weekly,82.46,100,2021-04-28,2020-06-03
454,23108,Pre-test,44.8,100,2024-10-28,2024-03-11
455,20648,Pre-test,99.29,100,2021-08-07,2022-08-29
456,13143,Pre-test,70.0,100,2020-08-25,2024-01-31
457,22048,Final,84.47,100,2023-03-20,2021-09-23
458,1268,Final,51.51,100,2020-12-06,2023-12-10
459,16822,Weekly,85.02,100,2023-05-14,2022-03-20
460,23093,Weekly,94.42,100,2021-05-01,2025-11-23
461,17763,Final,79.74,100,2024-11-19,2025-01-13
462,23467,Weekly,40.09,100,2021-02-14,2023-10-10
463,10447,Weekly,92.62,100,2023-05-04,2020-12-09
464,22200,Final,70.85,100,2023-03-27,2023-02-09
465,16216,Pre-test,75.3,100,2023-11-06,2024-12-11
466,11004,Final,79.81,100,2025-11-02,2024-12-14
467,20314,Pre-test,71.48,100,2020-11-06,2025-06-11
468,17228,Final,71.31,100,2022-10-10,2022-08-02
